Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4217839792281361088479898151,0.421783979228136,0.421783979228136,0.421783979228136,0.421783979228136,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,354195.7
0.02,0,0.4329978035576510715055002918,0.432997803557651,0.432997803557651,0.432997803557651,0.432997803557651,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,708391.3
0.03,0,0.4688966331797819901937235010,0.468896633179782,0.468896633179782,0.468896633179782,0.468896633179782,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,1062587
0.04,0,0.4827301935446608586165922433,0.482730193544661,0.482730193544661,0.482730193544661,0.482730193544661,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,1416783
0.05,0,0.4887166485688310254927455244,0.488716648568831,0.488716648568831,0.488716648568831,0.488716648568831,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,1770978
0.06,0,0.4912460762565527391757717836,0.491246076256553,0.491246076256553,0.491246076256553,0.491246076256553,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,2125174
0.07,0,0.4920543416097073973310355397,0.492054341609707,0.492054341609707,0.492054341609707,0.492054341609707,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,2479370
0.08,0,0.4919396924322245012880045600,0.491939692432224,0.491939692432224,0.491939692432224,0.491939692432224,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,2833565
0.09,0,0.4913083372183678354167746710,0.491308337218368,0.491308337218368,0.491308337218368,0.491308337218368,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,3187761
0.10,0,0.4903824175289134716601321887,0.490382417528914,0.490382417528914,0.490382417528914,0.490382417528914,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,3541957
0.11,0,0.4892899812607496328373639475,0.48928998126075,0.48928998126075,0.48928998126075,0.48928998126075,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,3896152
0.12,0,0.4881077018131692128531267953,0.488107701813169,0.488107701813169,0.488107701813169,0.488107701813169,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,4250348
0.13,0,0.4868828208791636867725700042,0.486882820879164,0.486882820879164,0.486882820879164,0.486882820879164,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,4604544
0.14,0,0.4856449981638488159423049439,0.485644998163849,0.485644998163849,0.485644998163849,0.485644998163849,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,4958740
0.15,0,0.4844130446683223290459669114,0.484413044668322,0.484413044668322,0.484413044668322,0.484413044668322,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,5312936
0.16,0,0.4831989216007974918777187695,0.483198921600798,0.483198921600798,0.483198921600798,0.483198921600798,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,5667130
0.17,0,0.4820101222105354571524577387,0.482010122210535,0.482010122210535,0.482010122210535,0.482010122210535,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,6021326
0.18,0,0.4808512582222507880315086569,0.480851258222251,0.480851258222251,0.480851258222251,0.480851258222251,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,6375522
0.19,0,0.4797249995470903325570845033,0.47972499954709,0.47972499954709,0.47972499954709,0.47972499954709,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,6729718
0.20,0,0.4786327215160155779530543339,0.478632721516016,0.478632721516016,0.478632721516016,0.478632721516016,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,7083914
0.21,0,0.4775749338080897315757279244,0.47757493380809,0.47757493380809,0.47757493380809,0.47757493380809,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,7438109
0.22,0,0.4765515852160437387894313704,0.476551585216044,0.476551585216044,0.476551585216044,0.476551585216044,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,7792305
0.23,0,0.4755622282366949658194658827,0.475562228236695,0.475562228236695,0.475562228236695,0.475562228236695,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,8146501
0.24,0,0.4746061539800792968792852612,0.474606153980079,0.474606153980079,0.474606153980079,0.474606153980079,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,8500696
0.25,0,0.4736825271768310849716147732,0.473682527176831,0.473682527176831,0.473682527176831,0.473682527176831,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,8854892
0.26,0,0.4730607201978088928851853752,0.473060720197809,0.473060720197809,0.473060720197809,0.473060720197809,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,9209087
0.27,0,0.4724694594967038646283143008,0.472469459496704,0.472469459496704,0.472469459496704,0.472469459496704,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,9563284
0.28,0,0.4719077331835307777694944094,0.471907733183531,0.471907733183531,0.471907733183531,0.471907733183531,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,9917479
0.29,0,0.4713745378083699550901297044,0.47137453780837,0.47137453780837,0.47137453780837,0.47137453780837,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,10271670
0.30,0,0.4708689267922111014099245302,0.470868926792211,0.470868926792211,0.470868926792211,0.470868926792211,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,10625870
0.31,0,0.4703899478622350860324089762,0.470389947862235,0.470389947862235,0.470389947862235,0.470389947862235,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,10980070
0.32,0,0.4699367821145177091305134426,0.469936782114518,0.469936782114518,0.469936782114518,0.469936782114518,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,11334260
0.33,0,0.4695085024798732916473872420,0.469508502479873,0.469508502479873,0.469508502479873,0.469508502479873,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,11688460
0.34,0,0.4691043910188341112259008874,0.469104391018834,0.469104391018834,0.469104391018834,0.469104391018834,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,12042650
0.35,0,0.4687236246296819394288653600,0.468723624629682,0.468723624629682,0.468723624629682,0.468723624629682,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,12396850
0.36,0,0.4683655752140386045770872720,0.468365575214039,0.468365575214039,0.468365575214039,0.468365575214039,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,12751040
0.37,0,0.4680295129579111529039091043,0.468029512957911,0.468029512957911,0.468029512957911,0.468029512957911,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,13105240
0.38,0,0.4677148975231872243337740126,0.467714897523187,0.467714897523187,0.467714897523187,0.467714897523187,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,13459440
0.39,0,0.4674211701829494101653325252,0.467421170182949,0.467421170182949,0.467421170182949,0.467421170182949,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,13813630
0.40,0,0.4671477411325918183031181812,0.467147741132592,0.467147741132592,0.467147741132592,0.467147741132592,0,0,0,0,7.49948636584418,38.45407120357939672136614165,38.45407120357939672136614165,14167830
